TEAM,GP,1st Downs TOTAL,1st Downs RUSH,1st Downs PASS,1st Downs PEN,3rd Downs MADE ,3rd Downs ATT,3rd Downs PCT,4th Downs MADE,4th Downs ATT,4th Downs PCT,Penalties TOTAL,Penalties YDS
Kansas City Chiefs,2,56,13,40,3,16,25,64,1,1,100,4,35
Buffalo Bills,2,52,23,27,2,12,21,57.1,4,4,100,6,62
Tampa Bay Buccaneers,2,43,13,28,2,7,27,25.9,2,5,40,8,96
Los Angeles Rams,2,40,9,28,3,10,24,41.7,0,0,0,10,93
Cincinnati Bengals,2,35,8,27,0,12,27,44.4,1,1,100,13,102
San Francisco 49ers,2,33,12,17,4,10,24,41.7,0,1,0,14,98
Las Vegas Raiders,1,23,4,15,4,8,18,44.4,1,2,50,7,46
Dallas Cowboys,1,20,7,12,1,5,14,35.7,1,2,50,14,89
New England Patriots,1,20,5,13,2,7,14,50,4,4,100,5,34
Pittsburgh Steelers,1,19,3,15,1,7,16,43.8,2,2,100,4,45
Tennessee Titans,1,16,7,9,0,1,8,12.5,0,1,0,2,15
Green Bay Packers,1,14,5,8,1,5,12,41.7,0,0,0,5,25
Philadelphia Eagles,1,14,3,10,1,5,14,35.7,1,3,33.3,4,45
Arizona Cardinals,1,14,6,7,1,0,9,0,1,2,50,7,50
