number,name,platform,release_date,summary,meta_score,user_review
679,Synth Riders, PlayStation 4,"August 10, 2021","Synth Riders is your freestyle dancing VR rhythm alternative. Lose yourself in the incredible music, ride the rails, meet friends in the multiplayer, and become a part of the VR rhythm revolution!",89,0.0
963,Tiger Woods PGA Tour 2005, GameCube,"September 20, 2004","Challenge professional golfer Tiger Woods to challenging matches in Tiger Woods PGA Tour 2005. This time, you can modify course dynamics and add longer trees, tighter fairways, undulations to greens, deeper bunkers, and more. The game's EA Sports Game Face features nonproportional bone scaling and texture blending to provide more realistic looks. After creating your own golfer and making a name for yourself, unlock the chance to tee off against some of golf's greatest legends, including Arnold Palmer, Jack Nicklaus, and Ben Hogan.",88,0.0
1277,NASCAR 2005: Chase for the Cup, Xbox,"August 31, 2004","Do you have what it takes to be a top NASCAR driver? In NASCAR 2005: Chase for the Cup, you can become a superstar owner or driver and decide where, how, and what to drive. During races you can even rattle rivals with the all-new Intimidator button. Push them too far and you might find yourself in a postrace confrontation. Develop essential racing skills, increase fan support, and compete in four racing series to become the driver that top NASCAR teams are looking for.",86,0.0
1472,Moto Racer Advance, Game Boy Advance,"December 5, 2002",,86,0.0
2098,Mushihimesama, Switch,"June 15, 2021","Mushihimesama (Bug Princess in English) is a vertical shooting game set in a beautiful fantasy world. Huge insect-like creatures called Koju roam the forest outside the village of Hoshifuri. When Reco's people fall to a mysterious sickness, the young princess decides to leave the village and meet the God of the Koju, who may provide a cure. Riding her faithful Golden Beetle friend Kiniro, Reco must traverse the wilds, braving the hostile landscape and the aggressive Koju beasts on her journey through the Shinju Forest.",84,0.0
2178,Tails Of Iron, Xbox Series X,"September 17, 2021","Set in a grim land plagued by war, Tails of Iron is a hand-drawn RPG Adventure with punishingly brutal combat. As Redgi, heir to the Rat Throne, you must restore your broken Kingdom by banishing the merciless Frog Clan and their ferocious leader, Greenwart. As you explore the deceivingly charming world, you'll encounter a cast of unique companions, ready to aid you in your adventure. And you'll need all the help you can get, whether that's new meal recipes, blueprints to forge deadly weapons and armour, or even a land-chugging, armour-plated mole mobile! Overcome your fears. Rescue your brothers. Restore Your Kingdom. Your tail has begun. Master Brutal Combat: From frog zombies to gargantuan grubs - and everything in-between - the Kingdom is awash with danger. To overcome each perilous encounter, you'll need to study your opponent's attacks and react accordingly! Thankfully, there's a range of deadly abilities at your disposal, including parry bashes and fatal executions, not to mention ranged attacks with your nifty bow and arrow. Explore a Treacherous Kingdom: Fully accompanied by the deep, raspy narrations of Doug Cockle (voice of Geralt of Rivia from The Witcher), prepare to embark on an epic adventure across the mediaeval-fantasy Rat Kingdom. Complete side quests and faction hunts for some additional gold-on-the-side, or join forces with a sharp-eyed companion to help even the playing field. Customise your Attack: Adapt Redgi's combat style to the task at hand. Heavy armour may provide better protection but can you really afford to slow down your dodge-roll? And then there's the question of weapon; axes pack a punch, while spears are quick and nimble. Perhaps you'd prefer the all-round performance of a trusty broadsword?",84,0.0
2205,Pinball FX 2: Marvel Pinball - Vengeance and Virtue, Xbox 360,"December 13, 2011",Vengeance and Virtue contains four new tables for Marvel Pinball.,84,0.0
2309,NASCAR Thunder 2003, Xbox,"September 19, 2002","Get behind the wheel of the world's tightest, sleekest stock cars and get ready for an intense ride. NASCAR Thunder 2003 elevates the series to another level with deeper modes, new tracks, and a greater sense of speed. Experience life in the fast lane through 20 seasons of Career mode, in which you must compete for top sponsors, the best crewmembers, and the latest racing technology. All 23 Winston Cup tracks and the Daytona Beach road course can be raced with 14 tracks featuring both day and night racing. NASCAR Thunder 2003 brings the speed and precision of NASCAR to your fingertips.",84,0.0
2387,Virtua Tennis, Game Boy Advance,"October 8, 2002",Virtua Tennis more than lives up to its namesake and does an ample job of compacting Sega's Tennis 2K2 into a portable format.,83,0.0
2577,Battle Chef Brigade, PlayStation 4,"August 28, 2018","Vive la Brigade! Welcome to Victusia, where the members of the elite Battle Chef Brigade are revered for their ability to skillfully take down monsters and transform their kills into delicious cuisine! But getting in isn't easy; chefs from across Victusia must vie for their spot in a high stakes competition. Follow two contestants, Mina and Thrash, as their journeys through the tournament unfold. In order to become a Brigadier you'll need to hunt monsters with combo-based attacks and prepare your freshly-caught ingredients in puzzle-based cooking challenges to serve up winning dishes to the judges all while the round clock ticks down. An ""Extra Helping"" of Features Play as two chefs, brought to life with colorful illustrations and VO, in a charming campaign that's equal parts old school brawler and combo puzzling, with a light sprinkling of RPG progression on top. Welcome Ziggy, the Undead Necromancer Chef, now playable in Local Multiplayer, Break the Dishes, Survival, and Free Play. If that's not enough for you, test your might against fellow Brigadiers with the addition of Local Multiplayer! Play as Mina, Thrash, and even Ziggy in an epic battle where YOU make all the rules. Who will come out on top? Extra Modes that test your cooking prowess including: Daily Cook-Off, Restaurant Rush, Break the Dishes, and the BRAND NEW Survival Mode leaderboards where you can show off your culinary creations. Hone your skills in a BRAND NEW Free Play Mode and find the ultimate cooking combination. Collect and enjoy the brilliant illustrations of Battle Chef Brigade in the BRAND NEW Art Gallery.",83,0.0
